Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HPTS_avg_5,APTS_avg_5,H_gd_5,A_gd_5,H_eff_5,A_eff_5,HST_avg_5,AST_avg_5,target,H_status,A_status,H_H2H,A_H2H
I1,02/10/05,Ascoli,Parma,3,1,H,2,1,H,10,10,6,4,23,22,5,5,3,5,0,1,1.0,0.0,0.0,-4.0,0.4,0.25,2.5,2.0,0,,,,
I1,02/10/05,Fiorentina,Livorno,3,2,H,2,0,H,11,9,5,5,19,21,2,7,2,2,0,1,3.0,2.0,3.0,1.0,0.4,0.14,7.5,3.5,0,,,,
I1,02/10/05,Juventus,Inter,2,0,H,2,0,H,8,11,5,6,29,22,1,9,2,3,0,0,3.0,1.5,2.0,0.0,0.21,0.19,7.0,8.0,0,,,,
I1,02/10/05,Lecce,Cagliari,3,0,H,2,0,H,11,17,8,7,24,16,4,8,0,3,0,0,0.5,0.0,-2.0,-3.0,0.1,0.18,5.0,5.5,0,,,,
I1,02/10/05,Messina,Sampdoria,1,4,A,0,1,A,18,12,10,7,15,18,5,0,4,3,0,0,1.0,1.5,0.0,1.0,0.18,0.3,5.5,5.0,2,,,,
I1,02/10/05,Milan,Reggina,2,1,H,2,0,H,17,8,7,1,13,10,7,1,1,0,0,0,3.0,0.0,4.0,-2.0,0.28,0.2,9.0,5.0,0,,,,
I1,02/10/05,Palermo,Empoli,2,2,D,1,2,A,21,5,10,4,13,11,11,0,0,2,0,0,3.0,0.0,2.0,-2.0,0.17,0.0,11.5,3.5,1,,,,
I1,02/10/05,Roma,Siena,2,3,A,0,1,A,15,5,9,4,19,17,14,5,2,3,0,1,1.5,0.5,2.0,-2.0,0.25,0.29,8.0,3.5,2,,,,
I1,15/10/05,Juventus,Messina,1,0,H,1,0,H,14,8,10,4,24,26,6,1,2,4,0,0,3.0,0.33,4.0,-3.0,0.26,0.2,6.33,5.0,0,,,,
I1,15/10/05,Siena,Udinese,2,3,A,0,2,A,11,13,6,8,16,19,3,6,2,4,0,1,2.0,1.0,2.0,-3.0,0.5,0.18,4.67,5.67,2,,,,
I1,16/10/05,Ascoli,Sampdoria,2,1,H,1,0,H,13,13,9,7,17,19,4,9,2,1,0,0,1.67,2.0,2.0,4.0,0.45,0.41,3.67,5.67,0,,,,
I1,16/10/05,Cagliari,Milan,0,2,A,0,2,A,10,9,5,4,15,16,6,3,1,1,0,0,1.0,1.33,0.0,1.0,0.14,0.2,4.67,6.67,2,,,,
I1,16/10/05,Empoli,Roma,1,0,H,0,0,D,7,8,4,4,12,17,4,11,0,3,1,0,2.0,1.67,-1.0,3.0,0.57,0.16,2.33,6.33,0,,,,
I1,16/10/05,Inter,Livorno,5,0,H,2,0,H,15,5,11,1,20,16,4,2,1,0,0,1,3.0,1.33,7.0,0.0,0.29,0.25,8.0,4.0,0,,,,
I1,16/10/05,Lazio,Fiorentina,1,0,H,0,0,D,10,12,9,4,15,21,8,7,1,3,0,0,3.0,1.33,5.0,1.0,0.53,0.28,5.0,6.0,0,,,,
I1,16/10/05,Palermo,Chievo,2,2,D,1,2,A,9,7,6,5,26,20,4,3,3,3,1,0,2.33,2.0,2.0,2.0,0.18,0.45,11.0,3.67,1,,,,
I1,16/10/05,Parma,Treviso,1,1,D,1,0,H,5,13,2,4,16,37,1,7,3,5,0,0,1.33,0.33,0.0,-5.0,0.17,0.14,6.0,2.33,1,,,,
I1,16/10/05,Reggina,Lecce,2,0,H,1,0,H,12,9,8,4,12,25,4,3,2,4,0,1,1.0,0.0,-3.0,-5.0,0.2,0.08,5.0,4.0,0,,,,
I1,22/10/05,Fiorentina,Parma,4,1,H,3,0,H,11,9,6,4,12,17,6,5,1,2,0,0,3.0,0.0,4.0,-6.0,0.45,0.25,6.67,2.67,0,,,,
I1,22/10/05,Messina,Ascoli,1,1,D,1,0,H,10,6,3,2,16,12,3,4,3,1,1,1,0.67,0.33,-3.0,-3.0,0.14,0.09,7.0,3.67,1,,,,
I1,23/10/05,Chievo,Cagliari,2,1,H,0,0,D,12,5,5,2,24,29,10,1,1,3,0,0,1.33,0.0,0.0,-6.0,0.1,0.11,3.33,6.0,0,,,,
I1,23/10/05,Lecce,Juventus,0,3,A,0,1,A,5,17,2,9,30,27,9,5,1,0,0,0,1.33,3.0,1.0,6.0,0.22,0.41,6.0,5.67,2,,,,
I1,23/10/05,Livorno,Reggina,1,0,H,0,0,D,15,7,6,1,21,20,10,7,2,2,1,1,2.33,0.0,3.0,-3.0,0.31,0.27,4.33,3.67,0,,,,
I1,23/10/05,Milan,Palermo,2,1,H,1,1,D,16,8,11,4,19,18,6,6,1,3,0,0,3.0,1.33,5.0,-1.0,0.28,0.22,8.33,7.67,0,,,,
